timeout,multiplier,max_packet,99_packet,95_packet,mean_packet,median_packet,all_hr,main_hr,max_cache,99_cache,95_cache,mean_cache,median_cache
10,,252.0,34.0,24.0,11.547592664413541,10.0,0.8411920409193373,,,,,,
20,,382.0,52.0,38.0,19.69371673504668,18.0,0.8590327765910791,,,,,,
30,,339.0,66.0,50.0,27.15617331557176,25.0,0.8701101653722098,,,,,,
40,,494.0,79.0,62.0,34.204668321770804,32.0,0.8782807799296432,,,,,,
50,,431.0,91.0,72.0,40.811792561792565,38.0,0.8876287366356389,,,,,,
60,,523.0,103.0,81.0,47.17054330545379,44.0,0.8952822030606078,,,,,,
70,,564.0,113.0,90.0,53.315613682092554,50.0,0.9012048044712208,,,,,,
80,,571.0,124.0,98.0,59.20502284153256,56.0,0.9055341210270709,,,,,,
90,,451.0,132.0,106.0,64.54307898674095,61.0,0.9083496453989296,,,,,,
100,,454.0,141.0,114.0,69.64746306265033,66.0,0.9104497533919468,,,,,,
110,,534.0,150.0,121.0,74.49662123468102,71.0,0.9117138586014434,,,,,,
130,,606.0,166.0,134.0,83.98691444279005,80.0,0.9137946431696992,,,,,,
150,,618.0,181.0,147.0,93.24258389646089,89.0,0.9155324667318002,,,,,,
170,,633.0,196.7699999999968,160.0,102.29243500171802,98.0,0.9169840445312376,,,,,,
190,,643.0,210.0,172.0,111.1143912495705,107.0,0.9182205476506516,,,,,,
210,,654.0,223.0,184.0,119.72757988775628,115.0,0.9192710892434504,,,,,,
230,,683.0,236.7699999999968,195.0,128.1232963005383,123.0,0.9201476570786844,,,,,,
250,,691.0,249.0,207.0,136.4821039972512,132.0,0.9209413179061156,,,,,,
270,,700.0,261.0,218.0,144.7757702439583,140.0,0.9217050093109204,,,,,,
290,,714.0,275.0,229.0,152.96274768067804,148.0,0.9224259879923856,,,,,,
310,,728.0,287.0,240.0,161.05397434429045,156.0,0.9231045561631764,,,,,,
350,,735.0,311.7699999999968,262.0,176.95201007902875,171.0,0.924325042011338,,,,,,
390,,744.0,334.0,283.0,192.6724888328943,187.0,0.9253786560995658,,,,,,
430,,773.0,357.0,304.0,208.0455560645974,202.0,0.9261357491945152,,,,,,
470,,785.0,379.0,323.0,223.3158859237201,217.0,0.9267178611563492,,,,,,
510,,811.0,402.0,343.0,238.43646203184056,232.0,0.9271516370683779,,,,,,
550,,818.0,424.0,363.0,253.36754094605428,246.0,0.9275090539136818,,,,,,
590,,837.0,445.0,381.0,268.29529836215784,261.0,0.9278242617234213,,,,,,
630,,866.0,467.0,401.0,283.1213205818348,276.0,0.9281280861894404,,,,,,
670,,874.0,488.0,420.0,297.9235196426526,290.0,0.9284939146205904,,,,,,
710,,890.0,508.0,439.0,312.69153017981904,305.0,0.9289120258428094,,,,,,
790,,918.0,547.0,476.0,341.8432882831291,334.0,0.9298817759164612,,,,,,
870,,954.0,591.0,512.0,370.63990379108924,363.0,0.9304959224208,,,,,,
950,,980.0,630.7699999999968,548.0,399.1477493986943,390.5,0.9315091911182316,,,,,,
1030,,999.0,672.0,584.0,427.3486714007559,418.0,0.9327743037032789,,,,,,
1110,,1028.0,709.0,618.0,455.0638815714122,445.0,0.9335868528222808,,,,,,
1190,,1115.0,747.0,652.0,482.28035162066203,472.0,0.9339160127833944,,,,,,
1270,,1142.0,786.7699999999968,685.0,509.43557439010425,499.0,0.934216613647652,,,,,,
1350,,1158.0,824.0,719.0,536.4381514145001,526.0,0.9344976210574532,,,,,,
1430,,1208.0,863.0,753.0,563.3821727179018,552.0,0.9350668889810191,,,,,,
1510,,1226.0,899.0,787.0,590.1839422746535,579.0,0.9360819205856641,,,,,,
1670,,1261.0,971.0,853.0,642.5599301340053,631.0,0.9365093500317248,,,,,,
1830,,1309.0,1041.0,918.0,694.6456591455733,683.0,0.9369546100250288,,,,,,
1990,,1376.0,1111.0,984.0,746.3411980300081,734.0,0.9379400751572676,,,,,,
2150,,1423.0,1182.0,1046.0,797.2663497881114,784.0,0.9384181252247392,,,,,,
2310,,1521.0,1250.0,1110.0,847.8625300652847,833.0,0.93870910565249,,,,,,
2470,,1555.0,1319.0,1172.0,898.084726835414,883.0,0.9402268680255929,,,,,,
2630,,1624.0,1386.0,1235.0,946.9521246134464,931.0,0.942339586398798,,,,,,
2790,,1695.0,1455.7699999999968,1295.0,994.0280322987057,978.0,0.9444617741021778,,,,,,
2950,,1743.0,1520.0,1354.0,1039.4409861413355,1023.0,0.9466740715485462,,,,,,
3110,,1798.0,1580.0,1411.0,1083.2127190470737,1067.0,0.9472521036394009,,,,,,
3430,,1899.0,1699.0,1520.0,1170.0090195853854,1153.0,0.9475042497396816,,,,,,
3750,,2022.0,1810.0,1629.0,1256.3476978582064,1238.0,0.9476972125263724,,,,,,
4070,,2100.0,1922.7699999999968,1738.0,1342.4012713320353,1325.0,0.9479643685223548,,,,,,
4390,,2267.0,2044.0,1848.0,1427.9896060016035,1409.0,0.9481932442474196,,,,,,
4710,,2415.0,2157.0,1957.8499999999985,1513.2609380368801,1494.0,0.9483889269480968,,,,,,
5030,,2525.0,2262.769999999997,2064.0,1597.4495475890506,1576.0,0.95046996336024,,,,,,
5350,,2641.0,2365.0,2168.8499999999985,1678.8995819493757,1656.0,0.9507233183111812,,,,,,
5670,,2789.0,2472.0,2274.0,1760.0270873897607,1734.0,0.9508619835557024,,,,,,
5990,,2906.0,2587.0,2377.0,1840.9053945710687,1813.0,0.9510958961585194,,,,,,
